Shop Name,Shop Address,Lat,Lng,Maps URL,Total Violations,Near Worship,Near Schools,Near Bus Stands,Status
Tasmac,"PR5R+CFX, Old Rayakottah Hudco, Hosur",12.7085597,77.8412085,https://www.google.com/maps/place/?q=place_id:ChIJuwVR-vF3rjsR2AeJFCA9F-s,61,60,1,0,VIOLATION
Wine shop (TASMAC),"PRQ8+35P, New ASTC Hudco, SBM Colony, Anthivadi, Appavu Nagar, Hosur",12.7377417,77.8154696,https://www.google.com/maps/place/?q=place_id:ChIJSe4UYBlxrjsRsHxY944-eEM,68,64,4,0,VIOLATION
Basthi TASMAC wines,"PRWQ+HP3, Avalapalli Hudco",12.7463797,77.8392957,https://www.google.com/maps/place/?q=place_id:ChIJ25vEiCx3rjsRw9XVnpve6-0,80,67,13,0,VIOLATION
Wine Shop With Bar,"near bus stand, opp.to Sapthagiri palace Restaurant, Hamumanthapuram, Hosur",12.7349488,77.82633349999999,https://www.google.com/maps/place/?q=place_id:ChIJm_36s8hwrjsRp2esMS5Ycyo,136,113,13,10,VIOLATION
MSIL Wine Shop,"PM7X+9RR, Vinayaka Nagar, Anekal",12.7134965,77.69950349999999,https://www.google.com/maps/place/?q=place_id:ChIJzYq3WJ1vrjsRTNx8ph_WnAQ,113,88,16,9,VIOLATION
CCM BAR AND RESTAURANT,"PQXR+5VC, NRI Center City, Nallur",12.7479314,77.7921511,https://www.google.com/maps/place/?q=place_id:ChIJreiYXkxxrjsR44OgOFIY6HY,62,61,1,0,VIOLATION
AVS BAR & RESTAURANT,"Sipcot Ph. I, Hosur",12.7589883,77.7924333,https://www.google.com/maps/place/?q=place_id:ChIJ_Zy_9HxxrjsRdTsJ_vTRl-M,62,60,2,0,VIOLATION
Sri Lakshmi Venkateshwara Bar And Restaurant,"Near, Indalvaadi Cross, Suragajakkanahalli",12.7300278,77.66846579999999,https://www.google.com/maps/place/?q=place_id:ChIJlVq-egNvrjsRcqfXK330-20,58,58,0,0,VIOLATION
Aishwairya Bar and Restaurant,"PM5W+QVC, Vinayaka Nagar, Anekal",12.7094463,77.6971264,https://www.google.com/maps/place/?q=place_id:ChIJR9pQ-HhvrjsRD5GG_A_6f64,122,101,14,7,VIOLATION
Y.M. Bar and Restaurant,PPX4+XXH,12.749925,77.7074938,https://www.google.com/maps/place/?q=place_id:ChIJORnarlNurjsRhn_XeKkrxnw,60,59,1,0,VIOLATION
ISIRI COMFORTS BAR & RESTAURANT,"697/1, near toll plaza, Attibele",12.7749095,77.7795108,https://www.google.com/maps/place/?q=place_id:ChIJgak-0VxxrjsRpHkr_Xs1aBQ,68,62,2,4,VIOLATION
ABC GRAND Bar and Restaurant,"91/1, Chandapura- Anekal Rd, near by VBHC apartments, Byagadadenahalli, Anekal",12.7584735,77.7039964,https://www.google.com/maps/place/?q=place_id:ChIJLxTssvhvrjsRlt2b8nexn0k,71,62,7,2,VIOLATION
Sri Gowda's Bar And Restaurant,"QQ32+GHH, Attibele - Anekal Rd, Mayasandra",12.7538343,77.7513896,https://www.google.com/maps/place/?q=place_id:ChIJYS33-tNxrjsRZG68O3wSBlc,55,55,0,0,VIOLATION
Spandana Bar And Restaurant,"PQWJ+3HH, Attibele-Rayakottai Rd, NRI Center City, Hosur, Nallur",12.745177,77.781497,https://www.google.com/maps/place/?q=place_id:ChIJSTzYJFJwrjsR95taGaJja8M,61,59,0,2,VIOLATION
Srinidhi Bar And Restaurant,"Theater Road, Attibele",12.7785729,77.7733457,https://www.google.com/maps/place/?q=place_id:ChIJlx8J-5NxrjsRpg7pV5V-D_M,125,95,15,15,VIOLATION
"BNR INN BAR & RESTAURANT, LODGING AND BOARDING",Dyavasandra,12.7551875,77.6468125,https://www.google.com/maps/place/?q=place_id:ChIJ5xRdNadprjsRGCwykQ8LQN4,66,63,2,1,VIOLATION
Maruthi Bar & Restaurant,India,12.7105155,77.6970991,https://www.google.com/maps/place/?q=place_id:ChIJ56NGQ3hvrjsRTdCtYYRcJwQ,123,101,15,7,VIOLATION
Tasmac,"RP3Q+WW, Somalapuram",12.8048402,78.73978,https://www.google.com/maps/place/?q=place_id:ChIJ2YSxmfsJrTsRXP8kiNcZXqc,44,44,0,0,VIOLATION
Tasmac Wine shop,"QVRH+75Q, Madhanur - Odugathur Rd, Veppankuppam, Guruvarajapalayam",12.7907919,78.8780165,https://www.google.com/maps/place/?q=place_id:ChIJPY-8ZLERrTsR0Le2jr0IV1k,56,56,0,0,VIOLATION
TN Wine Shop,"VR8X+84P, Madhanur",12.8658475,78.84783639999999,https://www.google.com/maps/place/?q=place_id:ChIJn3utulQTrTsRXaA7mkY449I,62,62,0,0,VIOLATION
wine shop bar,"V8C5+RFR, Kolar Gold Fields",12.8721216,78.3086258,https://www.google.com/maps/place/?q=place_id:ChIJ5-W1iPm_rTsRgV3syBVSuT8,24,24,0,0,VIOLATION
Tasmac,"PV8W+F3C, Bukkasandiram Road, Perandapalli, Moranapalli",12.7161909,77.8951306,https://www.google.com/maps/place/?q=place_id:ChIJv_NoJI93rjsRAAYRBO5TmiM,36,36,0,0,VIOLATION
Settipalli tasmac,PXJM+FWF,12.7311783,77.9848222,https://www.google.com/maps/place/?q=place_id:ChIJLQgt6yfZrTsRVCnv9oO0N2s,16,16,0,0,VIOLATION
TASMAC Shop Kamandoddi,"MWWV+6GR, Addakurukki",12.6955881,77.9437932,https://www.google.com/maps/place/?q=place_id:ChIJJ4w8uf_XrTsRJ2yZWZIVmfE,6,6,0,0,VIOLATION
Tasmac bar,"PWFF+H5, Sundatti",12.7239405,77.9229343,https://www.google.com/maps/place/?q=place_id:ChIJ4fMfOEx3rjsRFjzJGluQcEw,12,12,0,0,VIOLATION
M s bar and restaurant,"VX9X+H7M, Masti",12.8689694,77.9981656,https://www.google.com/maps/place/?q=place_id:ChIJ56vacgDfrTsRLPcDyRIfUiE,81,79,2,0,VIOLATION
Tasmac,"PRFW+M3M, SLV Layout, Sanasandiram, Hosur",12.7242036,77.8451681,https://www.google.com/maps/place/?q=place_id:ChIJb1iafbR3rjsR8xgsxoqklls,68,63,5,0,VIOLATION
Tasmac Wine Shop,"PVH4+242, Moranapalli, Hosur",12.7276121,77.8552564,https://www.google.com/maps/place/?q=place_id:ChIJMzLPIkF3rjsRMDenEC5qpio,61,61,0,0,VIOLATION
Tasmac,"R4V5+FXH, Amirthi Rd, Pennathur",12.8436803,79.1099582,https://www.google.com/maps/place/?q=place_id:ChIJmWAkCfg7rTsRiU0lq8BeJnA,63,62,1,0,VIOLATION
TASMAC,"R46M+65P, Kaniyambadi, Vellore",12.8105464,79.1329637,https://www.google.com/maps/place/?q=place_id:ChIJw0rwAhg7rTsR-oELtDdhmZI,75,71,4,0,VIOLATION
Tasmac,"V2CX+P62, SH 207, Thellur",12.8717632,79.048003,https://www.google.com/maps/place/?q=place_id:ChIJ0yo-SU0_rTsRXA6DyN07lsU,16,16,0,0,VIOLATION
